area,iptu,taxa_condominial,num_quartos,num_banheiros,num_suites,num_vagas_garagem,num_andares,tipo_imovel,estado_construcao,fonte,imovel_lancamento,bl_temporada,vista_mar_bin,mobiliado_bin,preco_m2
107.0,,,3,2,0,0,0,Apartamento,desconhecido,Viva Real,0,0,0,0,2803.7383177570096
98.0,1800.0,895.0,3,2,1,0,12,Apartamento,desconhecido,Viva Real,0,0,0,0,5081.632653061224
173.0,4000.0,1179.0,2,4,1,1,11,Apartamento,desconhecido,Viva Real,0,0,0,1,8034.682080924856
57.0,1500.0,520.0,3,1,0,1,11,Apartamento,desconhecido,Viva Real,0,0,0,1,10350.877192982456
34.0,80.0,436.0,0,1,0,0,0,Consultório,desconhecido,Viva Real,0,0,0,0,6764.705882352941
203.0,,,4,5,2,2,0,Apartamento,desconhecido,Viva Real,0,0,1,0,10935.960591133005
100.0,2628.0,1474.0,3,2,1,1,12,Apartamento,desconhecido,Viva Real,0,0,0,0,8950.0
122.0,2740.0,1062.0,3,3,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10573.77049180328
79.0,1900.0,800.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,11392.405063291139
88.0,0.0,0.0,2,2,1,1,5,Apartamento,desconhecido,Viva Real,0,0,0,0,5522.727272727273
190.0,,,2,3,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11163.157894736842
124.0,283.0,880.0,3,3,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9354.838709677419
257.0,1.0,1.0,4,5,2,3,0,Apartamento,desconhecido,Viva Real,0,0,0,1,7392.992217898833
100.0,3296.0,718.0,2,3,2,2,15,Apartamento,desconhecido,Viva Real,0,0,0,0,21806.9153612532
52.0,4800.0,846.0,0,1,0,2,0,Imóvel Comercial,desconhecido,Viva Real,0,0,0,0,7115.384615384615
110.0,,,3,2,0,0,12,Apartamento,desconhecido,Viva Real,0,0,0,0,5909.090909090909
107.0,1364.0,1249.0,3,2,1,1,10,Apartamento,desconhecido,Viva Real,0,0,0,1,12616.822429906542
331.0,4950.0,2353.0,4,5,2,2,0,Cobertura,desconhecido,Viva Real,0,0,0,1,5981.873111782477
217.0,3400.0,1343.0,4,5,3,3,13,Apartamento,desconhecido,Viva Real,0,0,1,0,14285.714285714286
83.0,0.0,746.0,3,2,1,0,0,Apartamento,desconhecido,Viva Real,0,0,1,1,10903.614457831325
100.0,550.0,790.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,9100.0
139.0,4800.0,1300.0,3,4,3,2,15,Apartamento,desconhecido,Viva Real,0,0,0,0,19784.172661870503
110.0,2627.0,1423.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,9636.363636363636
246.0,0.0,0.0,0,0,0,3,0,Ponto Comercial/Loja/Box,desconhecido,Viva Real,0,0,0,0,3376.3008130081303
125.0,2900.0,800.0,3,5,3,2,9,Apartamento,desconhecido,Viva Real,0,0,1,0,14392.008
68.0,2356.0,957.0,0,1,0,0,12,Ponto Comercial/Loja/Box,desconhecido,Viva Real,0,0,0,0,10000.0
156.0,190.0,1700.0,3,5,3,2,12,Apartamento,desconhecido,Viva Real,0,0,0,0,6282.051282051282
238.0,6000.0,2000.0,4,5,2,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8151.26050420168
85.0,3532.0,1816.0,1,2,1,1,0,Flat,desconhecido,Viva Real,0,0,0,1,16235.29411764706
139.0,0.0,1499.0,5,4,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,8920.863309352519
52.0,1414.0,603.0,1,1,1,1,15,Apartamento,desconhecido,Viva Real,0,0,0,1,15961.538461538461
380.0,8300.0,1000.0,4,4,2,3,8,Apartamento,desconhecido,Viva Real,0,0,1,0,7894.736842105263
59.0,,538.0,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,10135.593220338984
256.0,82849.0,131821.0,3,4,1,3,0,Cobertura,desconhecido,Viva Real,0,0,0,0,8984.375
68.0,1000.0,694.0,3,2,1,1,11,Apartamento,desconhecido,Viva Real,0,0,1,1,11529.411764705883
110.0,1800.0,980.0,3,2,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,5909.090909090909
90.0,,,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7666.666666666667
90.0,220.0,600.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7722.222222222223
67.0,1560.0,,2,1,0,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,7149.253731343284
213.0,2805.0,1134.0,3,4,3,2,14,Apartamento,desconhecido,Viva Real,0,0,0,0,7558.68544600939
107.0,1840.0,1170.0,3,2,1,1,0,Apartamento,desconhecido,Viva Real,0,0,0,1,13551.401869158879
258.0,4765.0,1700.0,4,6,4,2,0,Apartamento,desconhecido,Viva Real,0,0,0,1,6585.271317829457
98.0,1400.0,908.0,3,3,2,1,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11122.448979591836
77.0,240.0,578.0,3,2,1,2,0,Apartamento,desconhecido,Viva Real,0,0,0,0,11623.376623376624
